SPEC,HCPCS,MOD,FACILITY,"UNDISCOUNTED_
ALLOWED_SERVICES","WORK_ADJUSTED_
ALLOWED_SERVICES*","PE_ADJUSTED_
ALLOWED_SERVICES*","MP_ADJUSTED_
ALLOWED_SERVICES*"
97,98975,25,N,0.5,0.5,0.53,0.71
20,98975,50,N,0.5,0.48,0.43,0.25
01,98976,,N,2171.3,2177.44,2215.56,1533.55
01,98976,,Y,3.2,3.23,3.37,2.12
02,98976,,N,80.9,81.07,83.35,52.07
02,98976,,Y,2.3,2.26,2.12,2.31
03,98976,,N,59.1,62.48,73.46,66.52
03,98976,,Y,0.1,0.1,0.11,0.09
04,98976,,N,5,4.85,4.48,4.48
05,98976,,N,446.4,440.95,439.78,534.22
05,98976,,Y,25.9,25.4,24.07,19.15
06,98976,,N,16061.6,16260.96,17048.36,18546.66
06,98976,,Y,163.1,164.78,176.84,215.74
08,98976,,N,17622.1,17657.11,17936.22,16438.17
08,98976,,Y,494.7,495.85,497.25,443.83
09,98976,,N,920.6,913.94,917.09,1148.29
10,98976,,N,1649.4,1630.42,1607.08,1302.92
10,98976,,Y,2.6,2.55,2.44,1.96
11,98976,,N,31144.43,31529.57,32720.69,33336.18
11,98976,,Y,329.7,340.98,380.35,255.84
12,98976,,N,87.1,85.89,84.34,105.76
13,98976,,N,268.9,273.13,286.29,274.26
13,98976,,Y,0.3,0.29,0.27,0.14
14,98976,,N,46.4,44.6,41.15,37.28
14,98976,,Y,0.3,0.29,0.27,0.24
16,98976,,N,113.5,112.83,110.47,91.99
17,98976,,N,14.6,14.3,14.17,20.37
18,98976,,N,7,6.96,6.83,6.83
18,98976,,Y,0.1,0.1,0.09,0.11
20,98976,,N,180.5,180.5,179.18,151.81
20,98976,,Y,5.6,5.76,6.4,3.43
21,98976,,N,2120.8,2117.58,2155.38,2201.85
21,98976,,Y,1.2,1.17,1.12,0.69
22,98976,,N,285.7,286.03,287.27,257
23,98976,,N,20,20.2,21.2,15
25,98976,,N,175.3,177.65,185.75,216.85
25,98976,,Y,4.7,4.88,5.29,4.72
26,98976,,N,225.8,227.23,233.39,176.67
26,98976,,Y,12.4,12.69,13.89,8.59
27,98976,,N,1,0.99,0.93,0.91
28,98976,,N,0.7,0.7,0.71,0.68
29,98976,,N,2815.5,2820.64,2854.08,3087.38
29,98976,,Y,0.8,0.81,0.86,1.14
30,98976,,N,57.9,56.97,57.86,90.18
31,98976,,N,24,23.3,21.79,18.14
33,98976,,N,35.4,34.39,32.14,37.43
34,98976,,N,466.1,484.24,523.86,474.53
37,98976,,N,1.4,1.37,1.25,1.12
38,98976,,N,1106.7,1132.69,1197.05,1165.49
