SPEC,HCPCS,MOD,FACILITY,"UNDISCOUNTED_
ALLOWED_SERVICES","WORK_ADJUSTED_
ALLOWED_SERVICES*","PE_ADJUSTED_
ALLOWED_SERVICES*","MP_ADJUSTED_
ALLOWED_SERVICES*"
66,99454,,N,1182,1229.06,1370.77,958.72
66,99454,,Y,5,4.95,4.8,4.04
72,99454,,N,8907,8966.85,9101.66,9373.72
72,99454,,Y,4,3.94,3.77,3.05
76,99454,,N,48,49.09,52.46,35.35
77,99454,,N,128,131.42,138.65,100.95
78,99454,,N,317,315.18,312.43,458.63
81,99454,,N,1232,1260.04,1325.75,1445.42
81,99454,,Y,297,315.09,351.83,543.7
82,99454,,N,8,7.98,8.15,2.61
83,99454,,N,146,149.53,157.86,158.62
84,99454,,N,2198,2358.68,2919.6,1139
89,99454,,N,102,98.37,91.2,80.89
90,99454,,N,16,16.72,18.96,11.58
92,99454,,N,25,25.57,25.4,28.85
93,99454,,N,4794,4778.05,4723.97,4069.87
93,99454,,Y,103,100.46,96.51,82.77
94,99454,,N,41,40.67,39.5,36.57
94,99454,,Y,41,40.47,38.25,37.15
97,99454,,N,5656,5683.1,5797.61,5573.78
97,99454,,Y,288,291.97,306.2,156.52
98,99454,,N,51,53.86,61.91,62.78
99,99454,,N,112,109.87,107.86,95.76
99,99454,,Y,6,5.85,5.66,2.84
C0,99454,,N,4585,4524.08,4462.06,3860.1
C0,99454,,Y,1,0.97,0.88,1.01
C3,99454,,N,21032,20808.77,20407.31,23771.88
C3,99454,,Y,57,56.05,54.96,34.24
C6,99454,,N,1986,2051.68,2250.32,2706.92
C6,99454,,Y,22,21.74,20.9,16.7
C7,99454,,N,598,589.39,561.42,460.79
C7,99454,,Y,315,304.92,286.65,138.91
D4,99454,,N,6,5.87,5.99,10.89
50,99454,22,N,1,1.01,1.03,1.94
01,99454,25,N,5,4.84,4.7,7.25
03,99454,25,N,2,2.16,2.75,0.9
05,99454,25,N,134,131.32,124.22,99.43
06,99454,25,N,384,400.94,452.88,305.07
08,99454,25,N,1784,1796.28,1833.07,1900.61
08,99454,25,Y,9,9.68,12.01,4.77
10,99454,25,N,540,515.27,461.04,266.14
11,99454,25,N,2468,2493.21,2458.07,1906.38
11,99454,25,Y,1,0.97,0.91,1.08
16,99454,25,N,18,17.3,15.96,14.08
17,99454,25,N,1,0.97,0.94,1.45
20,99454,25,N,34,34.63,36.05,30.83
25,99454,25,N,6,6.22,6.73,6.66
26,99454,25,N,20,20.9,24,17.36
29,99454,25,N,11,11.21,11.76,11.53
38,99454,25,N,50,49.73,49.36,37.03
38,99454,25,Y,1,1.03,1.1,1.07
39,99454,25,N,53,51.41,47.63,28.89
46,99454,25,N,3,2.99,2.95,2.92
46,99454,25,Y,1,1.08,1.37,0.45
48,99454,25,N,42,44.16,49.32,39.2
50,99454,25,N,1873,1844.76,1803.02,2210.64
50,99454,25,Y,111,114.86,131.07,67.83
83,99454,25,N,1,1.02,1.02,0.71
93,99454,25,N,65,65.19,66.75,50.24
97,99454,25,N,14,13.9,13.9,12.56
C3,99454,25,N,12,12.04,12.54,12.38
20,99454,50,N,4,3.82,3.41,1.97
