SPEC,HCPCS,MOD,FACILITY,"UNDISCOUNTED_
ALLOWED_SERVICES","WORK_ADJUSTED_
ALLOWED_SERVICES*","PE_ADJUSTED_
ALLOWED_SERVICES*","MP_ADJUSTED_
ALLOWED_SERVICES*"
01,99454,,N,21713,21774.43,22155.58,15335.46
01,99454,,Y,32,32.31,33.65,21.23
02,99454,,N,809,810.68,833.53,520.69
02,99454,,Y,23,22.57,21.19,23.14
03,99454,,N,591,624.81,734.6,665.16
03,99454,,Y,1,1.02,1.06,0.92
04,99454,,N,50,48.55,44.77,44.81
05,99454,,N,4464,4409.48,4397.83,5342.23
05,99454,,Y,259,253.96,240.66,191.55
06,99454,,N,160616,162609.56,170483.59,185466.59
06,99454,,Y,1631,1647.82,1768.37,2157.42
08,99454,,N,176221,176571.14,179362.24,164381.74
08,99454,,Y,4947,4958.5,4972.49,4438.29
09,99454,,N,9206,9139.45,9170.86,11482.94
10,99454,,N,16494,16304.19,16070.75,13029.17
10,99454,,Y,26,25.5,24.36,19.62
11,99454,,N,311444,315295.37,327206.56,333361.6
11,99454,,Y,3297,3409.78,3803.53,2558.39
12,99454,,N,871,858.9,843.4,1057.65
13,99454,,N,2689,2731.28,2862.94,2742.63
13,99454,,Y,3,2.9,2.73,1.42
14,99454,,N,464,446.05,411.5,372.78
14,99454,,Y,3,2.88,2.66,2.39
16,99454,,N,1135,1128.34,1104.72,919.94
17,99454,,N,146,143.04,141.67,203.66
18,99454,,N,70,69.56,68.32,68.28
18,99454,,Y,1,0.98,0.91,1.06
20,99454,,N,1805,1805.05,1791.78,1518.14
20,99454,,Y,56,57.6,64.04,34.33
21,99454,,N,21208,21175.78,21553.8,22018.47
21,99454,,Y,12,11.73,11.23,6.88
22,99454,,N,2857,2860.27,2872.74,2570.03
23,99454,,N,200,201.96,211.96,150.05
25,99454,,N,1753,1776.45,1857.48,2168.53
25,99454,,Y,47,48.83,52.88,47.24
26,99454,,N,2258,2272.3,2333.89,1766.7
26,99454,,Y,124,126.93,138.93,85.87
27,99454,,N,10,9.87,9.33,9.06
28,99454,,N,7,6.96,7.14,6.76
29,99454,,N,28155,28206.38,28540.79,30873.78
29,99454,,Y,8,8.11,8.62,11.44
30,99454,,N,579,569.68,578.59,901.83
31,99454,,N,240,233.04,217.92,181.44
33,99454,,N,354,343.86,321.41,374.33
34,99454,,N,4661,4842.41,5238.62,4745.28
37,99454,,N,14,13.7,12.52,11.18
38,99454,,N,11067,11326.95,11970.46,11654.92
38,99454,,Y,428,424.51,418.35,464.78
39,99454,,N,23998,24152.02,24379.35,24286.93
39,99454,,Y,287,300.92,333.8,289.56
42,99454,,Y,1,1.04,1.2,0.87
44,99454,,N,151,149.01,145.18,143.87
44,99454,,Y,10,10.56,11.86,9.96
46,99454,,N,14927,14974.6,15224.05,18339.76
46,99454,,Y,23,23.35,24.13,18.11
47,99454,,N,30,32.18,39.94,15.25
48,99454,,N,4321,4347.89,4452.24,3490.67
50,99454,,N,52631,52676,53475.79,55230.74
50,99454,,Y,1928,1945.93,2016.62,2116.05
65,99454,,N,32,32.1,36.67,19.78
